title,url,author,price,thumbnail_path,scrape_date
Night of the Nun... aka Nun Massacre,https://puppetcombo.itch.io/nun-massacre,Puppet Combo,Free,data/thumbnails/2025-12-18_Night_of_the_Nun____aka_Nun_Massacre.gif,2025-12-18
Basilisk - 2000,https://akuma-kira.itch.io/basilisk-2000,KIRA,Free,data/thumbnails/2025-12-18_Basilisk_-_2000.png,2025-12-18
Blasters of the Universe VR Bullet Hell,https://secretlocation.itch.io/blasters-of-the-universe,Secret Location,Free,data/thumbnails/2025-12-18_Blasters_of_the_Universe_VR_Bullet_Hell.png,2025-12-18
Express No.6,https://askgames.itch.io/express-no6,ASKGAMES,Free,data/thumbnails/2025-12-18_Express_No_6.png,2025-12-18
Transpose,https://secretlocation.itch.io/transpose,Secret Location,Free,data/thumbnails/2025-12-18_Transpose.png,2025-12-18
Grave Rogue 2 Game Boy,https://madsoxgames.itch.io/grave-rogue-2-game-boy,Madsox Games,Free,data/thumbnails/2025-12-18_Grave_Rogue_2_Game_Boy.png,2025-12-18
Killer Chat! Overkill DLC,https://rosesrot.itch.io/killer-chat-overkill-dlc,rosesrot,Free,data/thumbnails/2025-12-18_Killer_Chat__Overkill_DLC.png,2025-12-18
NIGHT OF THE CONSUMERS,https://germfood.itch.io/nightoftheconsumers,germfood,Free,data/thumbnails/2025-12-18_NIGHT_OF_THE_CONSUMERS.png,2025-12-18
Musketeer (C64),https://psytronik.itch.io/musketeer,Psytronik Software,Free,data/thumbnails/2025-12-18_Musketeer__C64_.png,2025-12-18
Evolution,https://keiwan.itch.io/evolution,Keiwan,Free,data/thumbnails/2025-12-18_Evolution.png,2025-12-18
Lancer Tactics,https://wick.itch.io/lancer-tactics,Olive,Free,data/thumbnails/2025-12-18_Lancer_Tactics.gif,2025-12-18
A Date with Death - Beyond the Bet DLC,https://twoandahalfstudios.itch.io/beyond-the-bet-dlc,Two and a Half Studios,Free,data/thumbnails/2025-12-18_A_Date_with_Death_-_Beyond_the_Bet_DLC.png,2025-12-18
The Choicer Voicer,https://yeahmaybe.itch.io/the-choicer-voicer,YeahMaybe,Free,data/thumbnails/2025-12-18_The_Choicer_Voicer.png,2025-12-18
Casualties: Unknown,https://orsonik.itch.io/scav-prototype,Orsoniks,Free,data/thumbnails/2025-12-18_Casualties__Unknown.png,2025-12-18
My Sweet! Housemate,https://sourmiiiilk.itch.io/my-sweet-housemate,sourmilk,Free,data/thumbnails/2025-12-18_My_Sweet__Housemate.png,2025-12-18
Criminally Yours,https://meant-to-bee-studios.itch.io/criminally-yours,Meant to Bee Studios,Free,data/thumbnails/2025-12-18_Criminally_Yours.png,2025-12-18
The Not-Deer Stew,https://roawrvideostore.itch.io/the-not-deer-stew,Roawr Video Store,Free,data/thumbnails/2025-12-18_The_Not-Deer_Stew.png,2025-12-18
The Trial of Kharzoid,https://theoldgamemaker.itch.io/the-trial-of-kharzoid,Pascal Belisle,Free,data/thumbnails/2025-12-18_The_Trial_of_Kharzoid.png,2025-12-18
Fear Assessment,https://alexander-wiseman.itch.io/fear-assessment,ALEXANDER WISEMAN,Free,data/thumbnails/2025-12-18_Fear_Assessment.gif,2025-12-18
WolfQuest,https://eduweb.itch.io/wolfquest,eduweb,Free,data/thumbnails/2025-12-18_WolfQuest.jpeg,2025-12-18
Repurpose,https://residentrabbit.itch.io/repurpose,Eros,Free,data/thumbnails/2025-12-18_Repurpose.png,2025-12-18
Angeline Era,https://han-tani.itch.io/angeline-era,Melos Han-Tani,Free,data/thumbnails/2025-12-18_Angeline_Era.png,2025-12-18
[DLC] Bloody Painter Dating Sim - Valentine,https://delucat.itch.io/bloody-painter-dating-sim-dlc-valentines-day,DeluCat Productions,Free,data/thumbnails/2025-12-18__DLC__Bloody_Painter_Dating_Sim_-_Valentine.jpg,2025-12-18
CorgiSpace,https://finji.itch.io/corgispace,Finji,Free,data/thumbnails/2025-12-18_CorgiSpace.png,2025-12-18
Lonely Christmas,https://askgames.itch.io/lonely-christmas,ASKGAMES,Free,data/thumbnails/2025-12-18_Lonely_Christmas.png,2025-12-18
The Man You See,https://thewindyproject.itch.io/the-man-you-see,Windy,Free,data/thumbnails/2025-12-18_The_Man_You_See.jpg,2025-12-18
Fidget Physics,https://samperson.itch.io/fidget-physics,samperson,Free,data/thumbnails/2025-12-18_Fidget_Physics.gif,2025-12-18
Pok̩Path TD,https://khydra98.itch.io/pokepath,Khydra,Free,data/thumbnails/2025-12-18_Pok__Path_TD.png,2025-12-18
A Very Killer Chat! Christmas,https://rosesrot.itch.io/killer-chat-xmas,rosesrot,Free,data/thumbnails/2025-12-18_A_Very_Killer_Chat__Christmas.png,2025-12-18
CHORDOSIS,https://adamdubigames.itch.io/chordosis,AdamDubiGames,Free,data/thumbnails/2025-12-18_CHORDOSIS.png,2025-12-18
Hylics,https://mason-lindroth.itch.io/hylics,Mason Lindroth,Free,data/thumbnails/2025-12-18_Hylics.png,2025-12-18
CHOCOLATE,https://pukogames.itch.io/chocolate,Puko,Free,data/thumbnails/2025-12-18_CHOCOLATE.png,2025-12-18
Holiday Magic: A Wayhaven Christmas Story,https://seraphinite.itch.io/holiday-magic-a-wayhaven-christmas-story,Seraphinite Games,Free,data/thumbnails/2025-12-18_Holiday_Magic__A_Wayhaven_Christmas_Story.png,2025-12-18
CASINO CASUALTY,https://glitchedlizard.itch.io/casino-casualty,GlitchedLizard,Free,data/thumbnails/2025-12-18_CASINO_CASUALTY.png,2025-12-18
Soul of Sovereignty Prelude,https://gigidigi.itch.io/soulsov,ggdg,Free,data/thumbnails/2025-12-18_Soul_of_Sovereignty_Prelude.png,2025-12-18
Dead Dating - Your Gay Summer Horror Bromance,https://fymm-game.itch.io/ddp,Mr.Ryu,Free,data/thumbnails/2025-12-18_Dead_Dating_-_Your_Gay_Summer_Horror_Bromance.gif,2025-12-18
Minesweeper Plus,https://jorel-simpson.itch.io/minesweeper-plus,Jorel Simpson,Free,data/thumbnails/2025-12-18_Minesweeper_Plus.png,2025-12-18
Friday Night Funkin',https://ninja-muffin24.itch.io/funkin,ninjamuffin99,Free,data/thumbnails/2025-12-18_Friday_Night_Funkin_.gif,2025-12-18
Doodle Empires,https://paletantan.itch.io/doodle-empires,TanTan,Free,data/thumbnails/2025-12-18_Doodle_Empires.png,2025-12-18
Buckshot Roulette,https://mikeklubnika.itch.io/buckshot-roulette,Mike Klubnika,Free,data/thumbnails/2025-12-18_Buckshot_Roulette.png,2025-12-18
Glory Hunters,https://2think.itch.io/glory-hunters,2think design studio,Free,data/thumbnails/2025-12-18_Glory_Hunters.png,2025-12-18
Goodboy Galaxy (for GBA),https://goodboygalaxy.itch.io/goodboy-galaxy-gba,Goodboy Galaxy,Free,data/thumbnails/2025-12-18_Goodboy_Galaxy__for_GBA_.png,2025-12-18
Crossing Chains,https://danijmn.itch.io/crossingchains,Daniel Nora,Free,data/thumbnails/2025-12-18_Crossing_Chains.png,2025-12-18
Andromeda Six,https://wanderlust-games.itch.io/andromeda-six,Wanderlust Games,Free,data/thumbnails/2025-12-18_Andromeda_Six.png,2025-12-18
Baldi's Basics Plus,https://basically-games.itch.io/baldis-basics-plus,Basically Games,Free,data/thumbnails/2025-12-18_Baldi_s_Basics_Plus.png,2025-12-18
Z. A. T. O. // I Love the World and Everything In It,https://nopanamaman.itch.io/z-a-t-o-i-love-the-world-and-everything-in-it,Nopanamaman,Free,data/thumbnails/2025-12-18_Z__A__T__O_____I_Love_the_World_and_Everything_In_.png,2025-12-18
Doki Doki Literature Club!,https://teamsalvato.itch.io/ddlc,Team Salvato,Free,data/thumbnails/2025-12-18_Doki_Doki_Literature_Club_.gif,2025-12-18
Hapunan,https://yikon.itch.io/hapunan,Yikon,Free,data/thumbnails/2025-12-18_Hapunan.png,2025-12-18
Christmas In Our Fears [Extended],https://murushii.itch.io/christmas-in-our-fears-extended-version,Murushii,Free,data/thumbnails/2025-12-18_Christmas_In_Our_Fears__Extended_.jpg,2025-12-18
Pongerground,https://mechars.itch.io/pongerground,Mechar Software,Free,data/thumbnails/2025-12-18_Pongerground.png,2025-12-18
Only Faces Remain,https://santiago-garcia.itch.io/only-faces-remain,Santiago Garcia,Free,data/thumbnails/2025-12-18_Only_Faces_Remain.png,2025-12-18
Santa's Workout 5,https://vector5games.itch.io/santas-workout-5,Vector5 Games,Free,data/thumbnails/2025-12-18_Santa_s_Workout_5.png,2025-12-18
A Dance of Fire and Ice,https://fizzd.itch.io/a-dance-of-fire-and-ice,fizzd,Free,data/thumbnails/2025-12-18_A_Dance_of_Fire_and_Ice.png,2025-12-18
Gyrochord for Playdate,https://soldship.itch.io/gyrochord-soldship,soldship,Free,data/thumbnails/2025-12-18_Gyrochord_for_Playdate.png,2025-12-18
The Hive,https://skydome.itch.io/thehive,Skydome Entertainment,Free,data/thumbnails/2025-12-18_The_Hive.png,2025-12-18
Ad Nauseam - The Wrong Side [DISC 1 OUT NOW],https://throwpup.itch.io/throwup-club,throwpup,Free,data/thumbnails/2025-12-18_Ad_Nauseam_-_The_Wrong_Side__DISC_1_OUT_NOW_.png,2025-12-18
Where Winter Crows Go,https://prikarin.itch.io/where-winter-crows-go,prikarin,Free,data/thumbnails/2025-12-18_Where_Winter_Crows_Go.png,2025-12-18
Silverpine,https://three-eyes-software.itch.io/silverpine,Three Eyes Software,Free,data/thumbnails/2025-12-18_Silverpine.png,2025-12-18
Gauley : Experience Nepal,https://ashimshakya.itch.io/gauley,Ashim Shakya,Free,data/thumbnails/2025-12-18_Gauley___Experience_Nepal.jpg,2025-12-18
The Amazing Digital Circus: Lost Demo,https://yaman-studios.itch.io/the-amazing-digital-circus-lost-demo,Yaman Studios,Free,data/thumbnails/2025-12-18_The_Amazing_Digital_Circus__Lost_Demo.png,2025-12-18
Monster Nomster,https://traxiss.itch.io/monster-nomster,Traxiss,Free,data/thumbnails/2025-12-18_Monster_Nomster.jpg,2025-12-18
