title,url,author,price,currency,is_free,genre,thumbnail_url,thumbnail_path,scrape_date,listing_type,source_page
That's not my Neighbor,https://nachogames.itch.io/thats-not-my-neighbor,,0,,True,,https://img.itch.zone/aW1nLzE1MDAzMjAyLnBuZw==/original/rTXFaC.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/rTXFaC.png,2025-12-19,top_sellers,top_sellers_page_1
Dwarf Eats Mountain,https://greenwizardgames.itch.io/dwarf-eats-mountain,,0,,True,,https://img.itch.zone/aW1nLzIzNTAyMTQ3LnBuZw==/original/4AFXkH.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/4AFXkH.png,2025-12-19,top_sellers,top_sellers_page_1
The Freak Circus,https://garula.itch.io/the-freak-circus,,0,,True,,https://img.itch.zone/aW1nLzIxNjQxODI1LnBuZw==/original/sIu4WS.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/sIu4WS.png,2025-12-19,top_sellers,top_sellers_page_1
Love at The Milky Way Diner - Early Access,https://clumsycatstudio.itch.io/love-at-the-milky-way-diner,,0,,True,,https://img.itch.zone/aW1nLzE1NjQ5MjQ0LnBuZw==/original/QNQtxF.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/QNQtxF.png,2025-12-19,top_sellers,top_sellers_page_1
14 Days With You [DEMO],https://cutiesai.itch.io/14dayswithyou,,0,,True,,https://img.itch.zone/aW1nLzIxNDc0NDEzLnBuZw==/original/6PxyjO.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/6PxyjO.png,2025-12-19,top_sellers,top_sellers_page_1
"The World Is Doomed Unless I Can Raise My Power Level to 1,000,000 and Confront the Demon Lord",https://reav.itch.io/demon-lord,,0,,True,,https://img.itch.zone/aW1nLzIwMDgxMzIyLnBuZw==/original/vImFuy.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/vImFuy.png,2025-12-19,top_sellers,top_sellers_page_1
Dead Trust,https://hexnut-studios.itch.io/dead-trust,,0,,True,,https://img.itch.zone/aW1nLzI0Mjk0OTg1LnBuZw==/original/GRxpb1.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/GRxpb1.png,2025-12-19,top_sellers,top_sellers_page_1
ANATOMY,https://kittyhorrorshow.itch.io/anatomy,,0,,True,,https://img.itch.zone/aW1hZ2UvNTUwMjMvMjQ2MDYzLnBuZw==/original/WVrLz4.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/WVrLz4.png,2025-12-19,top_sellers,top_sellers_page_1
Basilisk - 2000,https://akuma-kira.itch.io/basilisk-2000,,0,,True,,https://img.itch.zone/aW1nLzk5ODUxMjQucG5n/original/aEO%2FgJ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/aEO%2FgJ.png,2025-12-19,top_sellers,top_sellers_page_1
Night of the Nun... aka Nun Massacre,https://puppetcombo.itch.io/nun-massacre,,0,,True,,https://img.itch.zone/aW1nLzE1NTkzMzguZ2lm/originalm/t8Zf7O.gif,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/t8Zf7O.gif,2025-12-19,top_sellers,top_sellers_page_1
